project	count	link	description	rank	growing_fast
Products.PythonScripts	64,128	http://pypi.python.org/pypi/Products.PythonScripts/2.13.2	Provides support for restricted execution of Python scripts in Zope 2.	778th	false
MoPyTools	63,963	http://pypi.python.org/pypi/MoPyTools/3.3	Set of tools to build Mozilla Services apps	779th	false
mongokit	63,880	http://pypi.python.org/pypi/mongokit/0.8.3	Python mongodb kit	780th	false
mozinfo	63,838	http://pypi.python.org/pypi/mozinfo/0.4	file for interface to transform introspected system information to a format pallatable to Mozilla	781st	false
b3	63,240	http://pypi.python.org/pypi/b3/1.9.1	BigBrotherBot (B3) is a cross-platform, cross-game game administration bot. Features in-game administration of game servers, multiple user access levels, and database storage. Currently include parsers for Call of Duty 1 to 7, Urban Terror (ioUrT), World of Padman, ETpro, Smokin' Guns, BFBC2, MOH, HomeFront, Open Arena, Altitude etc.	782nd	false
Euphorie	63,228	http://pypi.python.org/pypi/Euphorie/6.0	Euphorie Risk Assessment tool	783rd	false
zope.index	63,225	http://pypi.python.org/pypi/zope.index/4.0.1	Indices for using with catalog like text, field, etc.	784th	false
pygraphviz	63,081	http://pypi.python.org/pypi/pygraphviz/1.1	Python interface to Graphviz	785th	false
plone.stringinterp	63,053	http://pypi.python.org/pypi/plone.stringinterp/1.0.7	Adaptable string interpolation	786th	false
cerebrod	62,810	http://pypi.python.org/pypi/cerebrod/1.2.11	A Cluster Management System	787th	false
joblib	62,807	http://pypi.python.org/pypi/joblib/0.7.0d	Lightweight pipelining: using Python functions as pipeline jobs.	788th	true
py2neo	62,675	http://pypi.python.org/pypi/py2neo/1.5	Python bindings to Neo4j	789th	true
testresources	62,667	http://pypi.python.org/pypi/testresources/0.2.7	Testresources, a pyunit extension for managing expensive test resources	790th	true
fudge	62,666	http://pypi.python.org/pypi/fudge/1.0.3	Replace real objects with fakes (mocks, stubs, etc) while testing.	791st	true
construct	62,660	http://pypi.python.org/pypi/construct/2.0.4	a powerful declarative parser for binary data	792nd	true
fixtures	62,619	http://pypi.python.org/pypi/fixtures/0.3.12	Fixtures, reusable state for writing clean tests and more.	793rd	true
chartio	62,525	http://pypi.python.org/pypi/chartio/2.0.5	Setup wizard and connection client for connecting MySQL/PostgreSQL databases to Chartio	794th	false
Couchapp	62,478	http://pypi.python.org/pypi/Couchapp/1.0.1	Standalone CouchDB Application Development Made Simple.	795th	false
testtools	62,476	http://pypi.python.org/pypi/testtools/0.9.30	Extensions to the Python standard library unit testing framework	796th	true
tailer	62,461	http://pypi.python.org/pypi/tailer/0.3	Python tail is a simple implementation of GNU tail and head.	797th	false
you-get	62,255	http://pypi.python.org/pypi/you-get/0.3.11	A YouTube/Youku/Niconico video downloader written in Python 3.	798th	true
dbf	62,243	http://pypi.python.org/pypi/dbf/0.95.003	Pure python package for reading/writing dBase, FoxPro, and Visual FoxPro .dbf files (including memos)	799th	false
mozhttpd	62,128	http://pypi.python.org/pypi/mozhttpd/0.5	basic python webserver, tested with talos	800th	false
DocumentTemplate	62,116	http://pypi.python.org/pypi/DocumentTemplate/2.13.2	Document Templating Markup Language (DTML)	801st	false
collective.solr	61,772	http://pypi.python.org/pypi/collective.solr/3.1	Solr integration for external indexing and searching.	802nd	false
zope.principalregistry	61,674	http://pypi.python.org/pypi/zope.principalregistry/4.0.0a2	Global principal registry component for Zope3	803rd	false
bloom	61,580	http://pypi.python.org/pypi/bloom/0.3.5	Bloom is a release automation tool.	804th	false
django-guardian	61,469	http://pypi.python.org/pypi/django-guardian/1.1.0.beta	Implementation of per object permissions for Django 1.2 or later.	805th	false
Geraldo	61,457	http://pypi.python.org/pypi/Geraldo/0.4.17	Geraldo is a reports engine for Python and Django applications	806th	false
plone.app.dexterity	61,409	http://pypi.python.org/pypi/plone.app.dexterity/2.0.7	Dexterity is a content type framework for CMF applications, with particular emphasis on Plone. It can be viewed as an alternative to Archetypes that is more light-weight and modular.	807th	false
GDAL	61,270	http://pypi.python.org/pypi/GDAL/1.9.1	GDAL: Geospatial Data Abstraction Library	808th	false
watchdog	61,137	http://pypi.python.org/pypi/watchdog/0.6.0	Filesystem events monitoring	809th	false
splinter	60,985	http://pypi.python.org/pypi/splinter/0.5.2	browser abstraction for web acceptance testing	810th	false
ComplexSystems	60,808	http://pypi.python.org/pypi/ComplexSystems/0.3.2	Toolbox for Complex Sytems including : Human Based Mobility Models	811th	false
Kivy	60,482	http://pypi.python.org/pypi/Kivy/1.7.0	A software library for rapid development of hardware-accelerated multitouch applications.	812th	false
Products.MailHost	60,427	http://pypi.python.org/pypi/Products.MailHost/2.13.1	zope.sendmail integration for Zope 2.	813th	false
minitage.recipe.egg	60,207	http://pypi.python.org/pypi/minitage.recipe.egg/1.99	zc.buildout recipes to compile and install software or python packages and generate scripts or configuration files sponsored by Makina Corpus.	814th	false
django-redis-cache	60,022	http://pypi.python.org/pypi/django-redis-cache/0.9.7	Redis Cache Backend for Django	815th	false
bitstring	59,760	http://pypi.python.org/pypi/bitstring/3.1.2	Simple construction, analysis and modification of binary data.	816th	true
lck.django	59,694	http://pypi.python.org/pypi/lck.django/0.8.10	Various common Django-related routines.	817th	false
Products.StandardCacheManagers	59,455	http://pypi.python.org/pypi/Products.StandardCacheManagers/2.13.0	Cache managers for Zope 2.	818th	false
smartypants	59,382	http://pypi.python.org/pypi/smartypants/1.6.0.3	SmartyPants: a smart-quotes plugin.	819th	false
lava-scheduler	59,257	http://pypi.python.org/pypi/lava-scheduler/0.28	LAVA Scheduler Application	820th	false
Products.ExternalMethod	59,244	http://pypi.python.org/pypi/Products.ExternalMethod/2.13.0	This package provides support for external Python methods within a Zope 2 environment.	821st	false
django-piston	59,213	http://pypi.python.org/pypi/django-piston/0.2.2.1	Piston is a Django mini-framework creating APIs.	822nd	false
solrpy	59,126	http://pypi.python.org/pypi/solrpy/0.9.5	Client for the Solr search service	823rd	false
pathtools	59,107	http://pypi.python.org/pypi/pathtools/0.1.2	File system general utilities	824th	false
zope.app.session	59,029	http://pypi.python.org/pypi/zope.app.session/3.6.2	Zope session	825th	false
Products.MIMETools	58,990	http://pypi.python.org/pypi/Products.MIMETools/2.13.0	MIMETools provides the <!--#mime--> tag for DocumentTemplate.	826th	false
mozfile	58,966	http://pypi.python.org/pypi/mozfile/0.5	Library of file utilities for use in Mozilla testing	827th	false
symposion	58,952	http://pypi.python.org/pypi/symposion/1.0b2.dev2	A collection of Django apps for conference websites.	828th	false
Products.CMFSquidTool	58,928	http://pypi.python.org/pypi/Products.CMFSquidTool/1.5.1	HTTP cache management for CMF sites	829th	false
django-lfstheme	58,881	http://pypi.python.org/pypi/django-lfstheme/0.7.4	The default theme for LFS	830th	false
BDD4Django	58,866	http://pypi.python.org/pypi/BDD4Django/0.3.13	"Behavior Driven Development" (BDD) -- Integrating Morelia + Splinter + Django	831st	false
minitage.recipe.common	58,859	http://pypi.python.org/pypi/minitage.recipe.common/1.87	zc.buildout recipes to compile and install software or python packages and generate scripts or configuration files  sponsored by Makina Corpus.	832nd	false
websockify	58,853	http://pypi.python.org/pypi/websockify/0.4.1	Websockify.	833rd	false
trytond	58,667	http://pypi.python.org/pypi/trytond/1.8.11	Tryton server	834th	false
django-ses	58,574	http://pypi.python.org/pypi/django-ses/0.4.1	A Django email backend for Amazon's Simple Email Service	835th	false
grokcore.viewlet	58,477	http://pypi.python.org/pypi/grokcore.viewlet/1.11	Grok-like configuration for zope viewlets	836th	false
tables	58,382	http://pypi.python.org/pypi/tables/2.4.0	Hierarchical datasets for Python	837th	false
django-webtest	58,339	http://pypi.python.org/pypi/django-webtest/1.6.1	Instant integration of Ian Bicking's WebTest
(http://pythonpaste.org/webtest/) with django's testing framework.	838th	true
Products.plonehrm	58,325	http://pypi.python.org/pypi/Products.plonehrm/2.14	Human Resource Management in Plone	839th	false
lamson	58,171	http://pypi.python.org/pypi/lamson/1.3.4	Lamson is a modern Pythonic mail server built like a web application server.	840th	false
cilantro	58,034	http://pypi.python.org/pypi/cilantro/2.0.10	A client implementation for Serrano	841st	false
