project	count	link	description	rank	growing_fast
lxml	9,183,019	http://pypi.python.org/pypi/lxml/3.2.1	Powerful and Pythonic XML processing library combining libxml2/libxslt with the ElementTree API.	1st	true
distribute	7,487,115	http://pypi.python.org/pypi/distribute/0.6.40	Easily download, build, install, upgrade, and uninstall Python packages	2nd	true
boto	6,116,027	http://pypi.python.org/pypi/boto/2.9.3	Amazon Web Services Library	3rd	false
zc.buildout	5,359,988	http://pypi.python.org/pypi/zc.buildout/2.1.0	System for managing development buildouts	4th	true
pip	5,138,619	http://pypi.python.org/pypi/pip/1.3.1	pip installs packages. Python packages. An easy_install replacement	5th	true
simplejson	4,248,558	http://pypi.python.org/pypi/simplejson/3.3.0	Simple, fast, extensible JSON encoder/decoder for Python	6th	true
setuptools	3,372,391	http://pypi.python.org/pypi/setuptools/0.6c11	Download, build, install, upgrade, and uninstall Python packages -- easily!	7th	false
requests	3,317,176	http://pypi.python.org/pypi/requests/1.2.0	Python HTTP for Humans.	8th	true
Django	3,146,086	http://pypi.python.org/pypi/Django/1.5.1	A high-level Python Web framework that encourages rapid development and clean, pragmatic design.	9th	false
Paste	3,123,236	http://pypi.python.org/pypi/Paste/1.7.5.1	Tools for using a Web Server Gateway Interface stack	10th	false
Jinja2	3,027,700	http://pypi.python.org/pypi/Jinja2/2.6	A small but fast and easy to use stand-alone template engine written in pure python.	11th	true
virtualenv	2,991,401	http://pypi.python.org/pypi/virtualenv/1.9.1	Virtual Python Environment builder	12th	true
nose	2,759,663	http://pypi.python.org/pypi/nose/1.3.0	nose extends unittest to make testing easier	13th	true
PasteDeploy	2,752,703	http://pypi.python.org/pypi/PasteDeploy/1.5.0	Load, configure, and compose WSGI applications and servers	14th	true
psycopg2	2,669,069	http://pypi.python.org/pypi/psycopg2/2.5	Python-PostgreSQL Database Adapter	15th	true
python-dateutil	2,216,520	http://pypi.python.org/pypi/python-dateutil/2.1	Extensions to the standard python 3.0+ datetime module	16th	false
SQLAlchemy	2,066,285	http://pypi.python.org/pypi/SQLAlchemy/0.8.1	Database Abstraction Library	17th	true
coverage	2,048,598	http://pypi.python.org/pypi/coverage/3.6	Code coverage measurement for Python	18th	true
pycrypto	1,983,830	http://pypi.python.org/pypi/pycrypto/2.6	Cryptographic modules for Python.	19th	true
PasteScript	1,838,879	http://pypi.python.org/pypi/PasteScript/1.7.5	A pluggable command-line frontend, including commands to setup package file layouts	20th	false
Flask	1,761,865	http://pypi.python.org/pypi/Flask/0.9	A microframework based on Werkzeug, Jinja2 and good intentions	21st	false
Werkzeug	1,752,751	http://pypi.python.org/pypi/Werkzeug/0.8.3	The Swiss Army knife of Python web development	22nd	false
Fabric	1,685,980	http://pypi.python.org/pypi/Fabric/1.6.0	Fabric is a simple, Pythonic tool for remote execution and deployment.	23rd	false
pymongo	1,645,765	http://pypi.python.org/pypi/pymongo/2.5	Python driver for MongoDB 	24th	true
kombu	1,627,068	http://pypi.python.org/pypi/kombu/2.5.10	AMQP Messaging Framework for Python	25th	true
MySQL-python	1,557,107	http://pypi.python.org/pypi/MySQL-python/1.2.4	Python interface to MySQL	26th	false
South	1,535,535	http://pypi.python.org/pypi/South/0.7.6	South: Migrations for Django	27th	false
paramiko	1,519,295	http://pypi.python.org/pypi/paramiko/1.10.1	SSH2 protocol library	28th	false
zope.interface	1,512,455	http://pypi.python.org/pypi/zope.interface/4.0.5	Interfaces for Python	29th	true
celery	1,490,685	http://pypi.python.org/pypi/celery/3.0.19	Distributed Task Queue	30th	true
anyjson	1,333,459	http://pypi.python.org/pypi/anyjson/0.3.3	Wraps the best available JSON implementation available in a common interface	31st	true
httplib2	1,303,717	http://pypi.python.org/pypi/httplib2/0.8	A comprehensive HTTP client library.	32nd	true
pytz	1,293,773	http://pypi.python.org/pypi/pytz/2013b	World timezone definitions, modern and historical	33rd	true
greenlet	1,285,090	http://pypi.python.org/pypi/greenlet/0.4.0	Lightweight in-process concurrent programming	34th	true
gunicorn	1,250,970	http://pypi.python.org/pypi/gunicorn/0.17.4	WSGI HTTP Server for UNIX	35th	true
six	1,245,330	http://pypi.python.org/pypi/six/1.3.0	Python 2 and 3 compatibility utilities	36th	true
Pygments	1,212,816	http://pypi.python.org/pypi/Pygments/1.6	Pygments is a syntax highlighting package written in Python.	37th	true
meld3	1,153,916	http://pypi.python.org/pypi/meld3/0.6.10	meld3 is an HTML/XML templating engine.	38th	false
graphite-web	1,131,791	http://pypi.python.org/pypi/graphite-web/0.9.10	Enterprise scalable realtime graphing	39th	false
WebOb	1,124,585	http://pypi.python.org/pypi/WebOb/1.2.3	WSGI request and response object	40th	true
Mako	1,079,740	http://pypi.python.org/pypi/Mako/0.8.0	A super-fast templating language that borrows the  best ideas from the existing templating languages.	41st	true
setuptools-git	1,074,896	http://pypi.python.org/pypi/setuptools-git/1.0b1	Setuptools revision control system plugin for Git	42nd	true
supervisor	1,048,434	http://pypi.python.org/pypi/supervisor/3.0b1	A system for controlling process state under UNIX	43rd	false
carbon	1,044,378	http://pypi.python.org/pypi/carbon/0.9.10	Backend data caching and persistence daemon for Graphite	44th	false
selenium	1,026,543	http://pypi.python.org/pypi/selenium/2.32.0	Python bindings for Selenium	45th	false
suds	960,109	http://pypi.python.org/pypi/suds/0.4	Lightweight SOAP client	46th	false
MarkupSafe	937,259	http://pypi.python.org/pypi/MarkupSafe/0.15	Implements a XML/HTML/XHTML Markup safe string for Python	47th	true
zc.recipe.egg	922,249	http://pypi.python.org/pypi/zc.recipe.egg/2.0.0	Recipe for installing Python package distributions as eggs	48th	false
msgpack-python	897,824	http://pypi.python.org/pypi/msgpack-python/0.3.0	MessagePack (de)serializer.	49th	true
redis	895,177	http://pypi.python.org/pypi/redis/2.7.4	Python client for Redis key-value store	50th	true
minitage.paste	882,443	http://pypi.python.org/pypi/minitage.paste/1.4.6	PasteScripts to facilitate use of minitage and creation of minitage based projects sponsored by Makina Corpus.	51st	false
gevent	816,492	http://pypi.python.org/pypi/gevent/0.13.8	Python network library that uses greenlet and libevent for easy and scalable concurrency	52nd	false
amqplib	801,891	http://pypi.python.org/pypi/amqplib/1.0.2	AMQP Client Library	53rd	true
Deliverance	782,765	http://pypi.python.org/pypi/Deliverance/0.6.1	Deliverance transforms HTML to theme pages	54th	false
logilab-common	755,086	http://pypi.python.org/pypi/logilab-common/0.59.1	collection of low-level Python packages and modules used by Logilab projects	55th	true
logilab-astng	733,592	http://pypi.python.org/pypi/logilab-astng/0.24.3	rebuild a new abstract syntax tree from Python's ast	56th	true
versiontools	729,726	http://pypi.python.org/pypi/versiontools/1.9.1	Smart replacement for plain tuple used in __version__	57th	true
BeautifulSoup	718,016	http://pypi.python.org/pypi/BeautifulSoup/3.2.1	HTML/XML parser for quick-turnaround applications like screen-scraping.	58th	false
pylint	717,733	http://pypi.python.org/pypi/pylint/0.28.0	python code static checker	59th	false
eggtestinfo	712,131	http://pypi.python.org/pypi/eggtestinfo/0.3	Add test information to .egg-info	60th	true
termcolor	708,030	http://pypi.python.org/pypi/termcolor/1.1.0	ANSII Color formatting for output in terminal.	61st	true
tiddlywebplugins.tiddlyspace	707,587	http://pypi.python.org/pypi/tiddlywebplugins.tiddlyspace/1.2.5	A discoursive social model for Tiddlers	62nd	false
pep8	705,906	http://pypi.python.org/pypi/pep8/1.4.5	Python style guide checker	63rd	true
unittest2	700,848	http://pypi.python.org/pypi/unittest2/0.5.1	The new features in unittest for Python 2.7 backported to Python 2.3+.	64th	false
billiard	695,333	http://pypi.python.org/pypi/billiard/2.7.3.28	Multiprocessing Pool Extensions	65th	true
docutils	684,685	http://pypi.python.org/pypi/docutils/0.10	Docutils -- Python Documentation Utilities	66th	true
sentry	675,996	http://pypi.python.org/pypi/sentry/5.4.5	A realtime logging an aggregation server.	67th	false
Beaker	665,194	http://pypi.python.org/pypi/Beaker/1.6.4	A Session and Caching library with WSGI Middleware	68th	true
mock	645,062	http://pypi.python.org/pypi/mock/1.0.1	A Python Mocking and Patching Library for Testing	69th	true
ssh	639,082	http://pypi.python.org/pypi/ssh/1.8.0	SSH2 protocol library	70th	false
django-celery	634,836	http://pypi.python.org/pypi/django-celery/3.0.17	Django Celery Integration.	71st	false
Sphinx	628,773	http://pypi.python.org/pypi/Sphinx/1.2b1	Python documentation generator	72nd	true
decorator	621,754	http://pypi.python.org/pypi/decorator/3.4.0	Better living through Python with decorators	73rd	true
django-debug-toolbar	609,068	http://pypi.python.org/pypi/django-debug-toolbar/0.9.4	A configurable set of panels that display various debug information about the current request/response.	74th	false
Twisted	599,268	http://pypi.python.org/pypi/Twisted/13.0.0	An asynchronous networking framework written in Python	75th	false
ordereddict	588,660	http://pypi.python.org/pypi/ordereddict/1.1	A drop-in substitute for Py2.7's new collections.OrderedDict that works in Python 2.4-2.6.	76th	false
raven	579,071	http://pypi.python.org/pypi/raven/3.3.6	Raven is a client for Sentry	77th	false
vnc2flv	574,989	http://pypi.python.org/pypi/vnc2flv/20100207	Screen recording tool that captures a VNC session and saves as FLV	78th	false
numpy	566,954	http://pypi.python.org/pypi/numpy/1.7.1	NumPy: array processing for numbers, strings, records, and objects.	79th	true
FormEncode	563,696	http://pypi.python.org/pypi/FormEncode/1.2.6	HTML form validation, generation, and conversion package	80th	false
py	559,699	http://pypi.python.org/pypi/py/1.4.14	library with cross-python path, ini-parsing, io, code, log facilities	81st	true
Markdown	559,208	http://pypi.python.org/pypi/Markdown/2.3.1	Python implementation of Markdown.	82nd	true
PyYAML	554,860	http://pypi.python.org/pypi/PyYAML/3.10	YAML parser and emitter for Python	83rd	true
Unidecode	553,819	http://pypi.python.org/pypi/Unidecode/0.04.12	ASCII transliterations of Unicode text	84th	true
django-appconf	551,604	http://pypi.python.org/pypi/django-appconf/0.6	A helper class for handling configuration defaults of packaged apps gracefully.	85th	true
oauth2	549,995	http://pypi.python.org/pypi/oauth2/1.5.211	library for OAuth version 1.0	86th	false
aspen	546,645	http://pypi.python.org/pypi/aspen/0.24.3	Aspen is a Python web framework. Simplates are the main attraction.	87th	false
django_compressor	533,703	http://pypi.python.org/pypi/django_compressor/1.3	Compresses linked and inline JavaScript or CSS into single cached files.	88th	false
amqp	519,479	http://pypi.python.org/pypi/amqp/1.0.11	Python AMQP Client.	89th	true
pyrabbit	517,452	http://pypi.python.org/pypi/pyrabbit/1.0.1	A Pythonic interface to the RabbitMQ Management HTTP API	90th	true
statsd	505,886	http://pypi.python.org/pypi/statsd/2.0.1	A simple statsd client.	91st	true
html5lib	488,187	http://pypi.python.org/pypi/html5lib/0.95	HTML parser based on the WHAT-WG Web Applications 1.0("HTML5") specifcation	92nd	false
adrest	485,143	http://pypi.python.org/pypi/adrest/2.2.2	Adrest - another django REST. Simple application for quick build RESTfull API.	93rd	false
ipython	477,545	http://pypi.python.org/pypi/ipython/0.13.2	IPython: Productive Interactive Computing	94th	true
pyparsing	476,499	http://pypi.python.org/pypi/pyparsing/2.0.0	Python parsing module	95th	true
iso8601	474,039	http://pypi.python.org/pypi/iso8601/0.1.4	Simple module to parse ISO 8601 dates	96th	false
django-extensions	472,256	http://pypi.python.org/pypi/django-extensions/1.1.1	Extensions for Django	97th	false
pygeoip	468,572	http://pypi.python.org/pypi/pygeoip/0.2.6	Pure Python GeoIP API	98th	true
Chameleon	461,467	http://pypi.python.org/pypi/Chameleon/2.11	Fast HTML/XML Template Compiler.	99th	true
python-daemon	460,349	http://pypi.python.org/pypi/python-daemon/1.6	Library to implement a well-behaved Unix daemon process.	100th	false
mrjob	457,113	http://pypi.python.org/pypi/mrjob/0.4	Python MapReduce framework	101st	false
Tempita	454,757	http://pypi.python.org/pypi/Tempita/0.5.1	A very small text templating language	102nd	true
chardet	454,431	http://pypi.python.org/pypi/chardet/2.1.1	Universal encoding detector	103rd	false
pyasn1	454,347	http://pypi.python.org/pypi/pyasn1/0.1.7	ASN.1 library for Python	104th	true
tornado	450,857	http://pypi.python.org/pypi/tornado/3.0.1	Tornado is an open source version of the scalable, non-blocking web server and and tools that power FriendFeed	105th	false
xattr	450,519	http://pypi.python.org/pypi/xattr/0.6.4	Python wrapper for extended filesystem attributes	106th	false
eventlet	446,469	http://pypi.python.org/pypi/eventlet/0.12.1	Highly concurrent networking library	107th	false
PrettyTable	434,372	http://pypi.python.org/pypi/PrettyTable/0.7.2	A simple Python library for easily displaying tabular data in a visually appealing ASCII table format.	108th	true
django-picklefield	434,023	http://pypi.python.org/pypi/django-picklefield/0.3.0	Pickled object field for Django	109th	true
Cython	428,627	http://pypi.python.org/pypi/Cython/0.19.1	The Cython compiler for writing C extensions for the Python language.	110th	true
BigJob	426,309	http://pypi.python.org/pypi/BigJob/0.4.130-1-g879bec5	SAGA-based Pilot-Job Implementation	111th	false
pudb	423,277	http://pypi.python.org/pypi/pudb/2013.1	A full-screen, console-based Python debugger	112th	true
pyOpenSSL	420,171	http://pypi.python.org/pypi/pyOpenSSL/0.13	Python wrapper module around the OpenSSL library	113th	true
WebTest	419,642	http://pypi.python.org/pypi/WebTest/2.0.5	Helper to test WSGI applications	114th	true
django-nose	418,947	http://pypi.python.org/pypi/django-nose/1.1	Django test runner that uses nose	115th	false
zope.component	410,878	http://pypi.python.org/pypi/zope.component/4.1.0	Zope Component Architecture	116th	true
zope.event	402,272	http://pypi.python.org/pypi/zope.event/4.0.2	Very basic event publishing system	117th	true
Routes	400,217	http://pypi.python.org/pypi/Routes/1.13	Routing Recognition and Generation Tools	118th	false
hiredis	399,477	http://pypi.python.org/pypi/hiredis/0.1.1	Python extension that wraps hiredis	119th	false
argh	398,691	http://pypi.python.org/pypi/argh/0.23.1	A simple argparse wrapper.	120th	true
certifi	389,754	http://pypi.python.org/pypi/certifi/0.0.8	Mozilla's SSL Certs.	121st	true
thrift	387,807	http://pypi.python.org/pypi/thrift/0.9.0	Python bindings for the Apache Thrift RPC system	122nd	false
zope.testing	387,800	http://pypi.python.org/pypi/zope.testing/4.1.2	Zope testing helpers	123rd	true
mimeparse	383,198	http://pypi.python.org/pypi/mimeparse/0.1.3	A module provides basic functions for parsing mime-type names and matching them against a list of media-ranges.	124th	true
Cheetah	380,507	http://pypi.python.org/pypi/Cheetah/2.4.4	Cheetah is a template engine and code generation tool.	125th	false
OpenEXR	370,351	http://pypi.python.org/pypi/OpenEXR/1.2.0	Python bindings for ILM's OpenEXR image file format	126th	false
zope.deprecation	365,781	http://pypi.python.org/pypi/zope.deprecation/4.0.2	Zope Deprecation Infrastructure	127th	true
pyramid	364,054	http://pypi.python.org/pypi/pyramid/1.4.1	The Pyramid web application development framework, a Pylons project	128th	true
transaction	362,773	http://pypi.python.org/pypi/transaction/1.4.1	Transaction management for Python	129th	true
repoze.lru	361,658	http://pypi.python.org/pypi/repoze.lru/0.6	A tiny LRU cache implementation and decorator	130th	true
pysolr	352,307	http://pypi.python.org/pypi/pysolr/3.0.6	Lightweight python wrapper for Apache Solr.	131st	true
Pillow	352,046	http://pypi.python.org/pypi/Pillow/2.0.0	Python Imaging Library (fork)	132nd	false
zope.schema	351,620	http://pypi.python.org/pypi/zope.schema/4.3.2	zope.interface extension for defining data schemas	133rd	true
AWSpider	351,180	http://pypi.python.org/pypi/AWSpider/0.3.2.12	Amazon Web Services web crawler	134th	false
plone.recipe.zope2instance	343,449	http://pypi.python.org/pypi/plone.recipe.zope2instance/4.2.10	Buildout recipe for creating a Zope 2 instance	135th	false
xlrd	340,905	http://pypi.python.org/pypi/xlrd/0.9.2	Library for developers to extract data from Microsoft Excel (tm) spreadsheet files	136th	true
pycassa	337,093	http://pypi.python.org/pypi/pycassa/1.8.0-4	Python client library for Apache Cassandra	137th	false
ZODB3	336,851	http://pypi.python.org/pypi/ZODB3/3.11.0a3	Zope Object Database: object database and persistence	138th	false
virtualenvwrapper	330,765	http://pypi.python.org/pypi/virtualenvwrapper/4.0	Enhancements to virtualenv	139th	true
reportlab	324,971	http://pypi.python.org/pypi/reportlab/2.7	The Reportlab Toolkit	140th	false
pytest	323,455	http://pypi.python.org/pypi/pytest/2.3.5	py.test: simple powerful testing with Python	141st	true
haigha	310,780	http://pypi.python.org/pypi/haigha/0.5.9	Event driven AMQP client library	142nd	true
Jinja	306,136	http://pypi.python.org/pypi/Jinja/1.2	A small but fast and easy to use stand-alone template engine written in pure python.	143rd	false
python-openid	302,362	http://pypi.python.org/pypi/python-openid/2.2.4	OpenID support for servers and consumers.	144th	false
Pylons	299,183	http://pypi.python.org/pypi/Pylons/1.0.1	Pylons Web Framework	145th	false
SQLObject	298,609	http://pypi.python.org/pypi/SQLObject/1.4.0b1dev-r4593	Object-Relational Manager, aka database wrapper	146th	false
django-facebook	296,545	http://pypi.python.org/pypi/django-facebook/5.1.2	None	147th	false
python-cjson	295,195	http://pypi.python.org/pypi/python-cjson/1.0.5	Fast JSON encoder/decoder for Python	148th	false
plone.app.layout	294,475	http://pypi.python.org/pypi/plone.app.layout/2.3.4	Layout mechanisms for Plone	149th	false
xlwt	294,387	http://pypi.python.org/pypi/xlwt/0.7.5	Library to create spreadsheet files compatible with MS Excel 97/2000/XP/2003 XLS files, on any platform, with Python 2.3 to 2.6	150th	false
plone.app.portlets	293,026	http://pypi.python.org/pypi/plone.app.portlets/2.4.3	Plone integration for the basic plone.portlets package	151st	false
pyflakes	291,641	http://pypi.python.org/pypi/pyflakes/0.7.2	passive checker of Python programs	152nd	true
zope.exceptions	289,410	http://pypi.python.org/pypi/zope.exceptions/4.0.6	Zope Exceptions	153rd	true
django-mptt	288,249	http://pypi.python.org/pypi/django-mptt/0.5.5	Utilities for implementing Modified Preorder Tree Traversal
        with your Django Models and working with trees of Model instances.	154th	false
zope.i18nmessageid	280,959	http://pypi.python.org/pypi/zope.i18nmessageid/4.0.2	Message Identifiers for internationalization	155th	true
collective.recipe.template	279,941	http://pypi.python.org/pypi/collective.recipe.template/1.10	Buildout recipe to generate a text file from a template	156th	false
dogpile.cache	279,865	http://pypi.python.org/pypi/dogpile.cache/0.4.3	A caching front-end based on the Dogpile lock.	157th	true
bottle	279,692	http://pypi.python.org/pypi/bottle/0.11.6	Fast and simple WSGI-framework for small web-applications.	158th	true
tiddlyweb	277,526	http://pypi.python.org/pypi/tiddlyweb/1.4.9	An optionally headless, extensible RESTful datastore for tiddlers: bits of stuff.	159th	false
Whoosh	275,037	http://pypi.python.org/pypi/Whoosh/2.4.1	Fast, pure-Python full text indexing, search, and spell checking library.	160th	true
dogpile.core	274,511	http://pypi.python.org/pypi/dogpile.core/0.4.1	A 'dogpile' lock, typically used as a component of a larger caching solution	161st	true
argparse	273,961	http://pypi.python.org/pypi/argparse/1.1	Python command-line parsing library	162nd	true
pmxbot	273,922	http://pypi.python.org/pypi/pmxbot/1105.5	IRC bot - full featured, yet extensible and customizable	163rd	true
zope.configuration	272,520	http://pypi.python.org/pypi/zope.configuration/4.0.2	Zope Configuration Markup Language (ZCML)	164th	true
beautifulsoup4	272,214	http://pypi.python.org/pypi/beautifulsoup4/4.2.0	UNKNOWN	165th	true
django-social-auth	269,817	http://pypi.python.org/pypi/django-social-auth/0.7.23	Django social authentication made simple.	166th	false
django-templatetag-sugar	264,648	http://pypi.python.org/pypi/django-templatetag-sugar/0.1	A library to make Django's template tags sweet.	167th	false
plone.app.controlpanel	264,373	http://pypi.python.org/pypi/plone.app.controlpanel/2.3.4	Formlib-based controlpanels for Plone.	168th	false
multiprocessing	263,568	http://pypi.python.org/pypi/multiprocessing/2.6.2.1	Backport of the multiprocessing package to Python 2.4 and 2.5	169th	false
zope.publisher	262,347	http://pypi.python.org/pypi/zope.publisher/4.0.0a4	The Zope publisher publishes Python objects on the web.	170th	false
guppy	259,842	http://pypi.python.org/pypi/guppy/0.1.10	Guppy-PE -- A Python Programming Environment	171st	false
venusian	259,119	http://pypi.python.org/pypi/venusian/1.0a8	A library for deferring decorator actions	172nd	true
python-ldap	257,431	http://pypi.python.org/pypi/python-ldap/2.4.10	Python modules for implementing LDAP clients	173rd	false
zope.security	255,969	http://pypi.python.org/pypi/zope.security/4.0.0b1	Zope Security Framework	174th	true
regex	255,150	http://pypi.python.org/pypi/regex/2013-03-11	Alternative regular expression module, to replace re.	175th	true
python-novaclient	254,779	http://pypi.python.org/pypi/python-novaclient/2.13.0	Client library for OpenStack Nova API.	176th	false
thumbor	253,683	http://pypi.python.org/pypi/thumbor/3.10.0	thumbor is an open-source photo thumbnail service by globo.com	177th	false
Plone	253,676	http://pypi.python.org/pypi/Plone/4.3	The Plone Content Management System	178th	false
pika	253,634	http://pypi.python.org/pypi/pika/0.9.12	Pika Python AMQP Client Library	179th	false
git-review	252,869	http://pypi.python.org/pypi/git-review/1.21	Tool to submit code to Gerrit	180th	true
WebHelpers	251,808	http://pypi.python.org/pypi/WebHelpers/1.3	Web Helpers	181st	false
WebError	251,584	http://pypi.python.org/pypi/WebError/0.10.3	Web Error handling and exception catching	182nd	false
translationstring	251,280	http://pypi.python.org/pypi/translationstring/1.1	Utility library for i18n relied on by various Repoze and Pyramid packages	183rd	true
yolk	250,975	http://pypi.python.org/pypi/yolk/0.4.3	Command-line tool for querying PyPI and Python packages installed on your system.	184th	false
zope.i18n	250,921	http://pypi.python.org/pypi/zope.i18n/4.0.0a4	Zope Internationalization Support	185th	true
scipy	250,373	http://pypi.python.org/pypi/scipy/0.12.0	SciPy: Scientific Library for Python	186th	true
python-swiftclient	247,682	http://pypi.python.org/pypi/python-swiftclient/1.4.0	Client Library for OpenStack Object Storage API	187th	false
EasyProcess	246,880	http://pypi.python.org/pypi/EasyProcess/0.1.6	Easy to use python subprocess interface.	188th	true
pylibmc	245,331	http://pypi.python.org/pypi/pylibmc/1.2.3	Quick and small memcached client for Python	189th	false
feedparser	245,094	http://pypi.python.org/pypi/feedparser/5.1.3	Universal feed parser, handles RSS 0.9x, RSS 1.0, RSS 2.0, CDF, Atom 0.3, and Atom 1.0 feeds	190th	true
pyserial	243,581	http://pypi.python.org/pypi/pyserial/2.6	Python Serial Port Extension	191st	true
python-cloudfiles	242,916	http://pypi.python.org/pypi/python-cloudfiles/1.7.10	CloudFiles client library for Python	192nd	false
ZConfig	240,916	http://pypi.python.org/pypi/ZConfig/3.0.3	Structured Configuration Library	193rd	true
django-paging	240,077	http://pypi.python.org/pypi/django-paging/0.2.5	An efficient paginator that works.	194th	false
django-buckeye-corpus	238,852	http://pypi.python.org/pypi/django-buckeye-corpus/0.3.55	UNKNOWN	195th	false
PyVirtualDisplay	238,771	http://pypi.python.org/pypi/PyVirtualDisplay/0.1.2	python wrapper for Xvfb, Xephyr and Xvnc	196th	false
zope.proxy	238,314	http://pypi.python.org/pypi/zope.proxy/4.1.3	Generic Transparent Proxies	197th	true
askbot	238,248	http://pypi.python.org/pypi/askbot/0.7.48	Question and Answer forum, like StackOverflow, written in python and Django	198th	false
zope.location	237,617	http://pypi.python.org/pypi/zope.location/4.0.2	Zope Location	199th	true
uuid	237,415	http://pypi.python.org/pypi/uuid/1.30	UUID object and generation functions (Python 2.3 or higher)	200th	false
demjson	237,401	http://pypi.python.org/pypi/demjson/1.6	encoder, decoder, and lint/validator for JSON (JavaScript Object Notation) compliant with RFC 4627	201st	false
JSONMapperHGMMPFork	234,846	http://pypi.python.org/pypi/JSONMapperHGMMPFork/0.62.026	Mapping JSON to objects and vice versa, this is a product of Christopher Lenz and Matthew Good with slight modifications	202nd	false
Zope2	234,528	http://pypi.python.org/pypi/Zope2/2.13.20	Zope2 application server / web framework	203rd	false
OpenGroupware	230,732	http://pypi.python.org/pypi/OpenGroupware/0.1.49rc38	OpenGroupware Coils Groupware & Workflow Solution	204th	false
mozrunner	230,105	http://pypi.python.org/pypi/mozrunner/5.15	Reliable start/stop/configuration of Mozilla Applications (Firefox, Thunderbird, etc.)	205th	false
zope.sqlalchemy	229,140	http://pypi.python.org/pypi/zope.sqlalchemy/0.7.2	Minimal Zope/SQLAlchemy transaction integration	206th	true
stevedore	226,950	http://pypi.python.org/pypi/stevedore/0.8	Manage dynamic plugins for Python applications	207th	true
django-registration	226,750	http://pypi.python.org/pypi/django-registration/0.8	An extensible user-registration application for Django	208th	false
M2Crypto	226,102	http://pypi.python.org/pypi/M2Crypto/0.21.1	M2Crypto: A Python crypto and SSL toolkit	209th	false
dotcloud	225,314	http://pypi.python.org/pypi/dotcloud/0.9.5	dotCloud meta-package to automatically install the dotCloud CLI	210th	false
zdaemon	221,869	http://pypi.python.org/pypi/zdaemon/4.0.0	Daemon process control library and tools for Unix-based systems	211th	true
plone.app.linkintegrity	219,410	http://pypi.python.org/pypi/plone.app.linkintegrity/1.5.1	Manage link integrity in Plone.	212th	false
Mezzanine	219,340	http://pypi.python.org/pypi/Mezzanine/1.4.6	An open source content management platform built using the Django framework.	213th	false
rosinstall	219,339	http://pypi.python.org/pypi/rosinstall/0.6.28	The installer for ROS	214th	true
plone.app.form	219,131	http://pypi.python.org/pypi/plone.app.form/2.2.2	zope.formlib integration for Plone	215th	false
plone.app.contentrules	218,008	http://pypi.python.org/pypi/plone.app.contentrules/3.0.1	Plone integration for plone.contentrules	216th	false
zope.traversing	215,387	http://pypi.python.org/pypi/zope.traversing/4.0.0a3	Resolving paths in the object hierarchy	217th	false
setuptools_hg	214,608	http://pypi.python.org/pypi/setuptools_hg/0.4	Setuptools/distribute plugin for finding files under Mercurial version control.	218th	true
mr.developer	213,930	http://pypi.python.org/pypi/mr.developer/1.25	A zc.buildout extension to ease the development of large projects with lots of packages.	219th	true
ipdb	213,451	http://pypi.python.org/pypi/ipdb/0.7	IPython-enabled pdb	220th	true
pupynere	213,066	http://pypi.python.org/pypi/pupynere/1.0.15	NetCDF file reader and writer.	221st	false
plone.i18n	212,752	http://pypi.python.org/pypi/plone.i18n/2.0.6	Advanced i18n/l10n features	222nd	false
django-storages	212,613	http://pypi.python.org/pypi/django-storages/1.1.8	Support for many storages (S3, MogileFS, etc) in Django.	223rd	false
slapos.cookbook	212,071	http://pypi.python.org/pypi/slapos.cookbook/0.78.0	SlapOS recipes.	224th	false
plone.app.content	211,750	http://pypi.python.org/pypi/plone.app.content/2.1.1	Content Views for Plone	225th	false
puke	211,435	http://pypi.python.org/pypi/puke/1.5.20	Puke is a straightforward build system	226th	false
Products.TinyMCE	207,502	http://pypi.python.org/pypi/Products.TinyMCE/1.3.3	Adds support for TinyMCE, a platform independent web based Javascript HTML WYSIWYG editor, to Plone.	227th	false
nosexcover	206,731	http://pypi.python.org/pypi/nosexcover/1.0.8	Extends nose.plugins.cover to add Cobertura-style XML reports	228th	false
django-sentry	206,058	http://pypi.python.org/pypi/django-sentry/1.13.5	Exception Logging to a Database in Django	229th	false
plone.app.vocabularies	204,561	http://pypi.python.org/pypi/plone.app.vocabularies/2.1.10	A collection of generally useful vocabularies.	230th	false
archetypes.kss	204,271	http://pypi.python.org/pypi/archetypes.kss/1.7.2	KSS (Kinetic Style Sheets) for Archetypes	231st	false
passlib	202,551	http://pypi.python.org/pypi/passlib/1.6.1	comprehensive password hashing framework supporting over 20 schemes	232nd	true
plone.app.iterate	202,133	http://pypi.python.org/pypi/plone.app.iterate/2.1.10	check-out/check-in staging for Plone	233rd	false
Products.Archetypes	202,036	http://pypi.python.org/pypi/Products.Archetypes/1.8.7	Archetypes is a developers framework for rapidly developing and deploying rich, full featured content types within the context of Zope/CMF and Plone.	234th	false
django-classy-tags	201,916	http://pypi.python.org/pypi/django-classy-tags/0.4	Class based template tags for Django	235th	true
WTForms	201,800	http://pypi.python.org/pypi/WTForms/1.0.4	A flexible forms validation and rendering library for python web development.	236th	true
sorl-thumbnail	200,772	http://pypi.python.org/pypi/sorl-thumbnail/11.12	Thumbnails for Django	237th	false
kss.core	199,497	http://pypi.python.org/pypi/kss.core/1.6.5	KSS (Kinetic Style Sheets) core framework	238th	false
